d,p,shots,ler,batch_ler,esc,loc,emp,stage,w3d
5,0.001,600,0.01,0.005,0.17296296296296296,0.7325925925925926,0.09444444444444444,44072.18907407407,19614.858333333334
7,0.001,250,0.0,0.0,0.7288888888888889,0.2693333333333333,0.0017777777777777779,47710.929777777776,35785.02916666667
5,0.002,400,0.0175,0.0075,0.4775,0.5125,0.01,47360.186111111114,25896.0875
7,0.002,150,0.006666666666666667,0.006666666666666667,0.9844444444444445,0.015555555555555555,0.0,43178.08,48897.21805555555
